j,Agua,Energía,Proteina,Grasa Total,Carbo-hidratos,Fibra Diet. total,Ceniza,Calcio,Fosforo,Hierro,Tiamina,Riboﬂavina,Niacina,Vit. C,Vit. A Equiv. Retinol,Ác. grasos mono-insat.,Ác. grasos poli-insat.,Ác. Grasos saturados,Colesterol,Potasio,Sodio,Zinc,Magnesio,Vit. B6,Vit. B12,Ac. Fólico,Folato Equiv. FD,Fracción Comestible
Pastillas Y Confites,1.3,394,0,0.2,98,0,0.5,3,3,0.3,0,0,0.01,0,0,0,0,0,0,5,38,0.01,3,0,0,0,0,1
Pepino,96.73,12,0.59,0.16,2.16,0.7,0.36,14,21,0.22,0.03,0.03,0.04,3,4,0,0,0.01,0,136,2,0.17,12,0.05,0,0,14,0.73
Pescados,75.37,105,18.88,2.73,0,0,1.21,40,185,0.53,0.11,0.1,4.1,0,27,0.56,1.03,0.64,52,287,42,0.48,23,0.3,1.4,0,15,1
Picaritas,1,471,7.1,20.8,66.9,5.9,4.1,21,193,1.35,0.21,0.27,7,26,0,4.8,10.94,4.16,0,1744,492,0.07,89,0.67,0,0,27,1
Piñas,86.46,48,0.54,0.12,12.63,1.4,0.24,13,8,0.28,0.08,0.03,0.49,36,3,0.01,0.04,0.01,0,115,1,0.1,12,0.11,0,0,15,0.52
Plátanos Verdes,65.28,122,1.3,0.37,31.89,2.3,1.17,3,34,0.6,0.05,0.05,0.69,18,56,0.03,0.07,0.14,0,499,4,0.14,37,0.3,0,0,22,0.65
Pollo O Gallina,66.21,222,18.33,15.97,0,0,0.69,12,132,0.95,0.05,0.09,5.93,1,44,6.35,3.39,4.48,77,156,73,1.33,18,0.35,0.32,0,4,0.54
Porotos,11.75,337,22.53,1.06,61.29,15.2,3.37,83,406,6.69,0.61,0.22,2.11,5,0,0.08,0.59,0.15,0,1359,12,2.79,138,0.4,0,0,394,1
Preparación De Maíz,11.6,366,8.5,1.7,77.7,7.4,0.6,110,84,2.9,0.44,0.26,3.53,0,662,0,0,0,0,162,3,0.7,40,0.3,0,0,0,1
Queso (Blanco Y Amarillo),53.1,276,17.1,21.3,4.5,0,4,643,367,2,0.03,0.59,0.1,0,252,5.75,0.45,15.26,72,187,842,2.38,20,0.23,1.3,62,0,1
