i,t,m,women,boys,men,girls,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
1997530,1997,,4,3,6,5,1,1,2,2,0,1,1,1,4,3,0,0,1,1,2.890371758
1997531,1997,,1,4,1,2,1,0,1,0,1,1,1,1,0,1,1,0,0,0,2.079441542
1997532,1997,,1,2,1,3,0,2,0,1,2,0,0,0,0,0,1,1,0,0,1.945910149
1997533,1997,,1,3,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,1.609437912
1997534,1997,,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1.098612289
1997535,1997,,1,4,1,1,1,1,0,0,3,0,0,0,0,1,1,0,0,0,1.945910149
1997536,1997,,1,3,1,3,0,1,1,0,1,1,1,1,0,0,1,1,0,0,2.079441542
1997537,1997,,1,1,1,3,0,0,1,2,0,0,0,1,0,1,1,0,0,0,1.791759469
1997538,1997,,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.6931471806
1997539,1997,,2,4,4,4,1,1,2,2,1,0,1,1,1,1,2,1,0,0,2.63905733
1997540,1997,,3,6,1,0,3,0,1,0,1,0,1,0,0,2,0,0,1,1,2.302585093
1997541,1997,,1,2,1,2,2,0,0,2,0,0,0,0,1,1,0,0,0,0,1.791759469
1997542,1997,,4,3,4,1,1,0,0,0,1,1,1,2,2,0,1,1,1,1,2.48490665
1997543,1997,,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1.098612289
1997544,1997,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
1997545,1997,,1,0,3,2,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1.791759469
1997546,1997,,2,4,1,2,1,0,3,0,0,2,0,0,1,0,0,1,0,1,2.197224577
1997547,1997,,2,5,2,5,3,0,1,2,1,2,0,1,0,0,2,1,0,1,2.63905733
1997550,1997,,1,1,1,2,1,0,0,2,0,0,0,0,0,1,1,0,0,0,1.609437912
1997551,1997,,2,2,2,3,1,0,1,1,0,1,0,2,0,0,1,1,1,0,2.197224577
1997552,1997,,1,3,1,3,0,2,2,0,1,1,0,0,0,0,1,1,0,0,2.079441542
1997553,1997,,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1.098612289
1997554,1997,,1,4,1,2,2,0,2,0,0,1,0,1,0,1,1,0,0,0,2.079441542
1997556,1997,,1,2,1,3,1,0,1,0,0,2,0,1,0,0,1,1,0,0,1.945910149
1997557,1997,,4,6,2,4,2,0,2,3,1,0,1,1,1,2,1,0,0,2,2.772588722
1997558,1997,,3,3,3,1,1,0,1,1,0,0,1,0,1,2,1,0,1,1,2.302585093
1997560,1997,,4,4,2,8,2,1,0,3,1,2,1,2,1,2,0,1,1,1,2.890371758
1997562,1997,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1997563,1997,,1,3,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1.609437912
1997564,1997,,2,5,1,2,1,1,3,0,1,0,0,1,1,1,0,1,0,0,2.302585093
1997565,1997,,3,4,1,2,1,2,2,0,1,0,1,0,0,2,0,0,0,1,2.302585093
1997566,1997,,2,4,1,7,0,3,3,0,1,1,0,3,0,1,0,1,1,0,2.63905733
1997568,1997,,2,2,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1.609437912
1997569,1997,,1,3,1,1,0,1,1,0,2,0,0,0,0,1,1,0,0,0,1.791759469
1997570,1997,,1,1,1,3,0,0,1,2,0,1,0,0,0,0,1,1,0,0,1.791759469
1997571,1997,,2,2,2,1,0,0,2,0,0,1,1,0,0,1,0,1,1,0,1.945910149
1997572,1997,,2,3,2,3,1,0,2,1,0,2,0,0,0,1,1,0,1,1,2.302585093
1997573,1997,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.6931471806
1997574,1997,,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1.098612289
1997575,1997,,1,1,2,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1.609437912
1997578,1997,,1,1,1,3,0,0,0,0,1,1,0,2,0,0,1,1,0,0,1.791759469
1997579,1997,,1,4,1,1,0,0,2,0,1,1,1,0,0,0,1,1,0,0,1.945910149
1997580,1997,,2,2,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1.609437912
1997581,1997,,1,2,3,3,0,0,1,0,1,2,0,1,2,0,0,0,1,1,2.197224577
1997582,1997,,2,2,1,4,1,0,1,1,0,2,0,1,0,0,1,1,0,1,2.197224577
1997583,1997,,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6931471806
1997584,1997,,1,3,2,2,0,0,0,1,2,0,1,1,1,0,1,1,0,0,2.079441542
1997585,1997,,1,1,2,3,1,0,0,1,0,1,0,1,2,0,0,1,0,0,1.945910149
1997586,1997,,4,2,1,4,1,1,1,0,0,1,0,2,1,2,0,1,0,1,2.397895273
1997587,1997,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.6931471806
1997588,1997,,2,0,2,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1.609437912
1997589,1997,,2,2,2,2,0,1,1,0,0,0,1,1,1,1,0,0,1,1,2.079441542
1997590,1997,,1,3,6,1,0,0,1,1,1,0,2,0,4,0,1,1,0,0,2.397895273
1997591,1997,,1,5,1,3,1,2,3,0,0,0,1,1,0,0,1,1,0,0,2.302585093
1997592,1997,,2,3,2,5,1,2,0,2,1,0,1,1,2,1,0,1,0,0,2.48490665
1997593,1997,,2,6,2,2,3,0,2,1,0,1,1,0,1,1,1,1,0,0,2.48490665
1997594,1997,,1,2,3,1,0,0,0,0,1,0,1,1,2,0,0,0,1,1,1.945910149
1997595,1997,,0,0,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1.098612289
1997596,1997,,2,1,1,6,1,3,0,2,0,1,0,0,1,2,0,0,0,0,2.302585093
1997597,1997,,1,2,0,2,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1.609437912
1997598,1997,,1,1,1,3,1,0,0,1,0,2,0,0,0,1,1,0,0,0,1.791759469
1997599,1997,,1,0,1,2,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1.386294361
1997600,1997,,2,0,3,4,0,1,0,2,0,0,0,2,2,0,0,0,1,1,2.197224577
1997601,1997,,1,1,1,2,0,0,0,0,0,0,1,2,0,0,1,1,0,0,1.609437912
1997602,1997,,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
