i,t,m,women,boys,men,girls,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
19976533,1997,,1,0,1,3,0,1,0,2,0,0,0,0,1,1,0,0,0,0,1.609437912
19976536,1997,,1,2,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1.386294361
19976538,1997,,2,1,2,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1.791759469
19976539,1997,,5,0,3,1,0,0,0,0,0,1,0,1,1,3,2,1,0,0,2.197224577
19976540,1997,,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1.386294361
19976541,1997,,1,3,1,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,1.609437912
19976542,1997,,1,1,1,2,0,0,0,0,1,2,0,0,0,0,0,1,1,0,1.609437912
19976543,1997,,2,0,1,3,0,2,0,1,0,0,0,0,0,1,1,1,0,0,1.791759469
19976544,1997,,1,2,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1.386294361
19976545,1997,,1,0,2,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1.386294361
19976546,1997,,1,2,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1.609437912
19976547,1997,,3,2,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1.945910149
19976548,1997,,1,1,1,2,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1.609437912
19976549,1997,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19976550,1997,,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1.386294361
19976551,1997,,2,0,1,3,0,0,0,1,0,2,0,0,0,0,0,1,1,1,1.791759469
19976552,1997,,3,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1.609437912
19976553,1997,,2,0,1,2,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1.609437912
19976554,1997,,4,1,1,4,0,0,0,2,1,2,0,0,0,1,1,2,0,1,2.302585093
19976555,1997,,1,1,1,2,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1.609437912
19976557,1997,,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1.098612289
19976558,1997,,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1.386294361
19976559,1997,,3,2,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1.791759469
19976560,1997,,1,0,1,2,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1.386294361
19976562,1997,,1,4,1,3,1,0,1,2,1,1,1,0,0,0,1,1,0,0,2.197224577
19976563,1997,,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1.386294361
19976564,1997,,1,2,1,1,0,0,0,0,0,1,2,0,0,0,1,1,0,0,1.609437912
19976565,1997,,1,2,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1.609437912
19976566,1997,,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1.098612289
19976567,1997,,1,3,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1.386294361
19976568,1997,,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1.098612289
19976569,1997,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.6931471806
19976570,1997,,3,3,4,0,0,0,2,0,1,0,0,0,3,1,0,1,1,1,2.302585093
19976571,1997,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19976572,1997,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19976573,1997,,4,0,2,3,0,1,0,1,0,0,0,1,1,3,0,1,1,0,2.197224577
19976574,1997,,1,2,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1.386294361
19976575,1997,,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6931471806
19976576,1997,,1,3,2,0,0,0,0,0,2,0,1,0,1,0,1,1,0,0,1.791759469
19976577,1997,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19976578,1997,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
19976579,1997,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
19976580,1997,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.6931471806
19976581,1997,,2,0,2,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1.609437912
19976582,1997,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19976583,1997,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
19976584,1997,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
19976585,1997,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
19976586,1997,,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1.098612289
19976587,1997,,2,1,4,3,0,1,0,0,0,1,1,1,3,1,0,0,1,1,2.302585093
19976588,1997,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
19976589,1997,,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1.386294361
19976590,1997,,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1.098612289
19976591,1997,,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1.386294361
19976600,1997,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.6931471806
19976602,1997,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19976603,1997,,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1.386294361
19976605,1997,,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1.386294361
19976606,1997,,2,2,2,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1.791759469
19976607,1997,,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1.098612289
19976608,1997,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.6931471806
19976609,1997,,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1.386294361
19976610,1997,,1,0,2,2,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1.609437912
19976611,1997,,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1.386294361
19976612,1997,,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1.386294361
19976613,1997,,3,0,5,3,0,1,0,2,0,0,1,0,2,1,1,1,1,1,2.397895273
19976614,1997,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19976616,1997,,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
19976617,1997,,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1.098612289
19976620,1997,,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1.098612289
19976621,1997,,1,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1.386294361
19976622,1997,,1,0,0,3,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1.386294361
19976624,1997,,1,2,2,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1.609437912
19976625,1997,,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1.386294361
19976626,1997,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19976627,1997,,2,3,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1.791759469
19976628,1997,,1,1,1,2,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1.609437912
19976629,1997,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19976631,1997,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806
19976632,1997,,1,2,3,0,0,0,0,0,2,0,0,0,1,0,1,0,1,1,1.791759469
19976633,1997,,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1.098612289
19976634,1997,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19976635,1997,,2,0,3,2,0,0,0,1,0,0,0,1,2,1,0,1,1,0,1.945910149
19976636,1997,,2,1,2,2,0,0,0,0,0,0,1,3,1,0,1,1,0,0,1.945910149
19976637,1997,,1,3,1,2,0,0,2,2,0,0,1,0,0,1,1,0,0,0,1.945910149
19976638,1997,,1,2,1,3,0,0,1,0,1,1,0,2,0,0,1,1,0,0,1.945910149
19976639,1997,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19976640,1997,,1,3,1,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,1.609437912
19976641,1997,,1,3,1,1,0,1,3,0,0,0,0,0,0,0,1,1,0,0,1.791759469
19976642,1997,,1,1,1,2,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1.609437912
19976643,1997,,1,2,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1.386294361
19976644,1997,,2,0,2,3,0,0,0,1,0,2,0,1,1,0,1,1,0,0,1.945910149
19976645,1997,,1,1,1,2,0,0,1,2,0,0,0,0,0,1,1,0,0,0,1.609437912
19976646,1997,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.6931471806
19976647,1997,,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1.098612289
19976648,1997,,1,0,1,3,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1.609437912
19976649,1997,,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1.098612289
19976650,1997,,1,2,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361
19976651,1997,,1,1,0,2,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1.386294361
19976652,1997,,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1.386294361
19976653,1997,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19976654,1997,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.6931471806
19976655,1997,,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1.098612289
19976656,1997,,1,1,1,2,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1.609437912
19976657,1997,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1.098612289
19976658,1997,,2,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1.386294361
19976659,1997,,1,3,1,2,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1.945910149
19976660,1997,,1,0,1,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1.386294361
19976661,1997,,2,0,2,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1.609437912
19976662,1997,,4,3,6,6,1,1,0,1,1,1,1,3,2,1,3,2,1,1,2.944438979
19976664,1997,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19976665,1997,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19976666,1997,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.6931471806
19976667,1997,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
19976668,1997,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
19976669,1997,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.6931471806
2003199,2003,,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1.098612289
2003201,2003,,1,0,1,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361
2003202,2003,,1,3,2,5,1,1,0,2,1,1,1,1,1,0,1,1,0,0,2.397895273
2003203,2003,,1,1,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1.386294361
2003204,2003,,1,3,1,1,2,0,1,1,0,0,0,0,1,1,0,0,0,0,1.791759469
2003205,2003,,0,0,1,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1.098612289
2003206,2003,,1,4,2,1,0,0,2,0,1,1,1,0,1,0,1,1,0,0,2.079441542
2003207,2003,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2003208,2003,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2003209,2003,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2003210,2003,,1,2,1,4,1,1,0,2,0,1,1,0,0,1,1,0,0,0,2.079441542
2003211,2003,,1,1,2,3,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1.945910149
2003212,2003,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2003213,2003,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2003214,2003,,1,4,1,2,0,1,2,1,1,0,1,0,1,0,0,1,0,0,2.079441542
2003215,2003,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2003216,2003,,1,2,1,2,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1.791759469
2003217,2003,,2,3,0,1,1,0,1,0,1,0,0,1,0,0,0,2,0,0,1.791759469
2003218,2003,,2,2,2,2,0,1,1,0,1,1,0,0,1,1,0,0,1,1,2.079441542
2003219,2003,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.6931471806
2003220,2003,,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1.386294361
2003221,2003,,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1.386294361
2003222,2003,,1,2,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1.386294361
2003223,2003,,2,0,2,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1.386294361
2003224,2003,,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.098612289
2003225,2003,,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1.098612289
2003226,2003,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2003227,2003,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
2003228,2003,,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1.098612289
2003230,2003,,2,1,2,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1.791759469
2003231,2003,,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1.386294361
2003232,2003,,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1.386294361
2003233,2003,,2,0,1,2,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1.609437912
2003234,2003,,2,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1.386294361
2003235,2003,,1,2,2,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1.791759469
2003236,2003,,2,2,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,1.609437912
2003237,2003,,1,2,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1.386294361
2003238,2003,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2003239,2003,,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1.098612289
2003240,2003,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.6931471806
2003241,2003,,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
2003242,2003,,1,2,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1.609437912
2003243,2003,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
2003244,2003,,0,1,3,2,0,0,0,1,1,0,0,1,2,0,0,0,1,0,1.791759469
2003245,2003,,2,1,2,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,1.609437912
2003246,2003,,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1.098612289
2003247,2003,,2,1,2,2,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1.945910149
2003248,2003,,2,0,2,1,0,0,0,1,0,0,1,0,0,2,0,0,1,0,1.609437912
2003249,2003,,1,2,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1.609437912
2003250,2003,,3,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,1.609437912
2003251,2003,,2,1,3,1,1,0,0,0,0,1,0,0,2,1,0,1,1,0,1.945910149
2003252,2003,,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1.098612289
2003253,2003,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806
2003254,2003,,1,3,2,0,0,0,1,0,1,0,2,0,0,0,0,1,1,0,1.791759469
2003255,2003,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2003256,2003,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
2003257,2003,,1,2,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1.609437912
2003258,2003,,2,2,1,2,1,0,0,0,1,0,0,2,0,1,0,0,1,1,1.945910149
2003259,2003,,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1.098612289
2003260,2003,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
2003264,2003,,1,2,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1.609437912
2003265,2003,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806
2003266,2003,,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.098612289
2003267,2003,,2,2,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1.609437912
2003268,2003,,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.098612289
2003269,2003,,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1.098612289
2003270,2003,,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1.098612289
2003271,2003,,3,0,5,3,0,1,0,0,0,2,0,0,4,2,1,1,0,0,2.397895273
2003272,2003,,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361
2003273,2003,,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1.098612289
2003275,2003,,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1.098612289
2003280,2003,,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.098612289
2003294,2003,,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1.098612289
2003296,2003,,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
2003297,2003,,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.386294361
2003304,2003,,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.6931471806
2003315,2003,,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.098612289
2003319,2003,,1,2,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1.386294361
2003328,2003,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2003351,2003,,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.6931471806
2003352,2003,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2003353,2003,,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1.098612289
2003354,2003,,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.6931471806
2003356,2003,,2,2,2,2,0,2,2,0,0,0,0,0,1,1,0,0,1,1,2.079441542
2003357,2003,,1,2,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1.386294361
2003358,2003,,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1.098612289
2003359,2003,,1,3,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1.791759469
2003360,2003,,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.098612289
2003361,2003,,2,3,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1.609437912
2003362,2003,,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361
2003363,2003,,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1.098612289
2003364,2003,,1,2,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1.386294361
2003365,2003,,2,1,1,2,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1.791759469
2003366,2003,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2003367,2003,,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1.098612289
2003368,2003,,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1.386294361
2003369,2003,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2003370,2003,,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1.386294361
2003371,2003,,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6931471806
2003372,2003,,2,2,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1.609437912
2003373,2003,,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.098612289
2003374,2003,,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1.386294361
2003375,2003,,1,2,1,1,0,1,0,0,2,0,0,0,0,0,1,1,0,0,1.609437912
2003386,2003,,1,2,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1.386294361
2003387,2003,,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1.098612289
2003396,2003,,1,2,0,2,0,0,1,0,1,2,0,0,0,0,0,1,0,0,1.609437912
2003415,2003,,1,1,1,2,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1.609437912
2003427,2003,,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1.386294361
2003428,2003,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
2003429,2003,,3,2,3,1,1,0,0,0,0,0,2,1,1,1,1,1,0,1,2.197224577
2003430,2003,,3,0,1,2,0,0,0,0,0,0,0,2,0,1,1,1,0,1,1.791759469
2003431,2003,,1,2,1,3,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1.945910149
2003432,2003,,1,0,1,5,0,0,0,2,0,2,0,1,0,0,1,1,0,0,1.945910149
2003433,2003,,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1.386294361
2003434,2003,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.6931471806
2003435,2003,,2,2,1,1,0,0,0,1,0,0,2,0,0,1,1,1,0,0,1.791759469
2003436,2003,,1,2,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1.386294361
2003437,2003,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2003438,2003,,1,3,1,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,1.609437912
2003439,2003,,1,4,1,2,0,0,1,0,2,2,1,0,0,0,1,1,0,0,2.079441542
2003440,2003,,1,0,1,3,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1.609437912
2003441,2003,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2003442,2003,,1,2,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1.609437912
2003444,2003,,1,0,2,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1.386294361
2003445,2003,,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.098612289
2003446,2003,,1,2,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1.609437912
2003447,2003,,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1.098612289
2003448,2003,,1,0,3,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1.386294361
2003449,2003,,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.6931471806
2003450,2003,,1,1,2,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1.609437912
2003451,2003,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.6931471806
2003452,2003,,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361
2003453,2003,,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1.386294361
2003454,2003,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2003455,2003,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
2003456,2003,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2003457,2003,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806
2003458,2003,,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6931471806
2003459,2003,,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1.386294361
2003460,2003,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2003462,2003,,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.6931471806
2003463,2003,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806
2003464,2003,,1,2,1,2,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1.791759469
2003465,2003,,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1.386294361
2003466,2003,,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1.098612289
2003467,2003,,1,2,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1.609437912
2003468,2003,,1,2,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1.386294361
2003469,2003,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.6931471806
2003470,2003,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.6931471806
2003471,2003,,1,1,2,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1.386294361
2003472,2003,,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1.098612289
2003473,2003,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2003474,2003,,1,2,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361
2003475,2003,,2,2,2,2,0,0,1,0,1,2,0,1,2,0,0,1,0,0,2.079441542
2003476,2003,,1,2,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1.609437912
2003477,2003,,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1.386294361
2003478,2003,,3,3,2,2,1,0,0,1,1,1,1,0,0,1,1,1,1,1,2.302585093
2003479,2003,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2003480,2003,,2,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1.386294361
2003481,2003,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2003482,2003,,2,3,2,0,0,0,2,0,1,0,0,0,0,0,1,1,1,1,1.945910149
2003483,2003,,2,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1.386294361
2003484,2003,,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1.386294361
